code,age
AFG,"63,6"
ALB,"79,3"
DZA,"76,5"
AND,83
AGO,"62,4"
AIA,"76,9"
ARG,"77,3"
ARM,"75,4"
ABW,"76,2"
AUS,"83,1"
AUT,"81,9"
AZE,"73,1"
BHS,"71,2"
BHR,80
BGD,"72,8"
BRB,"77,3"
BLR,"74,2"
BEL,"81,8"
BLZ,"73,9"
BEN,"60,5"
BMU,81
BTN,"71,4"
BOL,"67,8"
BWA,"65,5"
BRA,"75,3"
BRN,"74,7"
BGR,"75,1"
BDI,"62,4"
KHM,"70,7"
CMR,"61,6"
CAN,"82,4"
TCD,"53,3"
CHL,"80,3"
CHN,78
COL,"76,8"
COM,"64,1"
COG,"62,7"
HRV,"78,7"
CUB,"77,6"
CUW,"76,1"
CYP,"81,4"
CZE,"79,2"
DNK,"81,4"
DJI,"63,1"
DMA,"73,6"
ECU,"77,3"
EGY,"71,4"
ERI,"67,3"
EST,"78,7"
SWZ,"60,5"
ETH,"65,8"
FJI,"67,9"
FIN,"81,9"
FRA,"82,7"
GAB,"66,6"
GMB,"63,8"
GEO,"73,5"
DEU,"81,6"
GHA,"64,7"
GIB,"82,4"
GRC,"81,2"
GRL,"72,2"
GRD,"74,9"
GLP,"82,8"
GUM,"77,7"
GTM,"73,1"
GGY,"82,4"
GIN,"59,7"
GNB,"60,9"
GUY,"69,1"
HTI,"64,3"
HND,"72,9"
HUN,"76,5"
ISL,"82,4"
IND,"70,9"
IDN,"70,5"
IRN,"76,1"
IRQ,"71,6"
IRL,"82,3"
ISR,"82,8"
ITA,"83,6"
JAM,"71,8"
JPN,"84,4"
JEY,"80,8"
JOR,76
KAZ,"71,6"
KEN,"62,9"
KIR,"67,1"
OWID_KOS,79
KWT,"79,7"
KGZ,"71,2"
LAO,"68,1"
LVA,"75,5"
LBN,"79,2"
LSO,"54,2"
LBR,"61,1"
LBY,"72,5"
LIE,"84,3"
LTU,"76,2"
LUX,"82,1"
MAC,85
MDG,"65,9"
MWI,"64,1"
MYS,"75,8"
MDV,"80,1"
MLI,"59,7"
MLT,"83,2"
MTQ,"82,8"
MRT,"65,7"
MUS,"75,1"
MYT,"77,2"
MEX,"74,2"
MDA,"70,9"
MCO,"86,5"
MNG,"71,8"
MNE,77
MSR,"75,4"
MAR,"74,3"
MOZ,"61,2"
MMR,"66,6"
NAM,"63,1"
NRU,"63,5"
NPL,"69,6"
NLD,82
NIC,"74,1"
NER,"62,9"
NGA,"52,9"
NIU,"70,7"
NOR,83
OMN,78
PAK,"66,8"
PLW,"64,8"
PSE,"75,2"
PAN,"77,8"
PRY,"73,6"
PER,"76,2"
PHL,"71,9"
POL,"77,9"
PRT,"81,7"
QAT,81
REU,"82,1"
ROU,"76,5"
RUS,"73,9"
RWA,"66,4"
WSM,"72,2"
SEN,"68,5"
SRB,"76,7"
SYC,"74,2"
SGP,"83,8"
SVK,"77,7"
SVN,"81,6"
SOM,"57,1"
ESP,"83,5"
SDN,"65,9"
SUR,"72,2"
SWE,"83,1"
CHE,"83,8"
SYR,"71,8"
TWN,"80,7"
TJK,"70,9"
TZA,67
THA,79
TLS,"68,3"
TGO,"60,9"
TKL,"75,1"
TON,"70,9"
TUN,76
TUR,"77,8"
TKM,69
TUV,"64,3"
UGA,63
UKR,"74,5"
URY,"77,5"
UZB,"71,3"
VUT,"69,9"
VEN,"72,2"
VNM,"74,1"
OWID_WRL,"72,8"
YEM,"65,1"
ZMB,"62,8"
ZWE,"61,3"
